"© Statistisches Landesamt Baden-Württemberg";"Böblinger Straße 68";"70199 Stuttgart";"Telefon:";"+49 711 641-2833";"Telefax:";"+49 711 641-2440";"https://www.statistik-bw.de/";;;;
"Landesinformationssystem (LIS)";"Abruf aus der Struktur- und Regionaldatenbank (SRDB)";;;;

"BIBER-Nr.:";"01515020";;;;
"Web-Abruf der Tabellen:";"R= Kürzel der Regionaleinheit (Spalte 1) und AGS (Spalte 2) ohne »08«.";;;;
"Bsp. Regierungsbezirk Stuttgart:";"https://www.statistik-bw.de/BevoelkGebiet/GebietFlaeche/01515020.tab?R=RB1";;;;
"Bsp. Aidlingen:";"https://www.statistik-bw.de/BevoelkGebiet/GebietFlaeche/01515020.tab?R=GS115001";;;;

"Titel:";"Bevölkerung, Gemeindegebiet und Bevölkerungsdichte";;;;

"Stichtag:";"31.12.2015";"31.12.2016";"31.12.2017";"31.12.2018";
"Erstellungsdatum:";"20.10.2016";"09.01.2018";"Stand 29.03.2019";"Stand 22.07.2019";

"https://www.statistik-bw.de/BevoelkGebiet/GebietFlaeche/01515020.tab?R=";;;;

"Bevölkerung:";"Ergebnisse der Bevölkerungsfortschreibung auf Basis Zensus 2011. Bei Städten und Gemeinden mit Landeserstaufnahmeeinrichtung für Flüchtlinge (LEA) kann es durch die hohe Zahl an Zu- und Fortzügen zu verfahrensbedingten Schwankungen in der amtlichen Bevölkerungsfortschreibung und der Ermittlung der amtlichen Einwohnerzahl kommen.";;;;
"Gemeindegebiet:";"Ohne die Flächen der gemeindefreien Gebiete Rheinau (Ortenaukreis) und Gutsbezirk Münsingen (Landkreis Reutlingen). Zum Berichtsjahr 2016 wurde die Flächenerhebung bundesweit auf die neue ALKIS-Nomenklatur umgestellt."
"Postleitzahl:";"Für jene Städte und Gemeinden, die über mehr als eine Postleitzahl verfügen, wurde diejenige übernommen, die dem Sitz (Hausanschrift) der Stadt-/Gemeindeverwaltung entspricht.";;;;

"Kürzel der Regionaleinheit";"Amtlicher Gemeindeschlüssel (AGS)";"Postleitzahl";"Regionalname";"Stichtag";"Bevölkerung insgesamt";"Gemeindegebiet ha";"Bevölkerungsdichte EW/km²"
"KR";"08126";"X";"Landkreis Hohenlohekreis";"31.12.2015";110181;77676;142
"KR";"08127";"X";"Landkreis Schwäbisch Hall";"31.12.2015";191614;148400;129
"KR";"08128";"X";"Landkreis Main-Tauber-Kreis";"31.12.2015";132181;130441;101
"KR";"08135";"X";"Landkreis Heidenheim";"31.12.2015";130527;62713;208
"KR";"08136";"X";"Landkreis Ostalbkreis";"31.12.2015";312650;151157;207
"KR";"08211";"X";"Stadtkreis Baden-Baden";"31.12.2015";54160;14021;386
"KR";"08212";"X";"Stadtkreis Karlsruhe";"31.12.2015";307755;17346;1774
"KR";"08215";"X";"Landkreis Karlsruhe";"31.12.2015";435841;108495;402
"KR";"08216";"X";"Landkreis Rastatt";"31.12.2015";227474;73875;308
"KR";"08221";"X";"Stadtkreis Heidelberg";"31.12.2015";156267;10884;1436
"KR";"08222";"X";"Stadtkreis Mannheim";"31.12.2015";305780;14496;2109
"KR";"08225";"X";"Landkreis Neckar-Odenwald-Kreis";"31.12.2015";142936;112625;127
"KR";"08226";"X";"Landkreis Rhein-Neckar-Kreis";"31.12.2015";541859;106171;510
"KR";"08231";"X";"Stadtkreis Pforzheim";"31.12.2015";122247;9800;1247
"KR";"08235";"X";"Landkreis Calw";"31.12.2015";155359;79751;195
"KR";"08236";"X";"Landkreis Enzkreis";"31.12.2015";196066;57369;342
"KR";"08237";"X";"Landkreis Freudenstadt";"31.12.2015";116233;87067;133
"KR";"08311";"X";"Stadtkreis Freiburg im Breisgau";"31.12.2015";226393;15306;1479
"KR";"08315";"X";"Landkreis Breisgau-Hochschwarzwald";"31.12.2015";257343;137833;187
"KR";"08316";"X";"Landkreis Emmendingen";"31.12.2015";162082;67988;238
"KR";"08317";"X";"Landkreis Ortenaukreis";"31.12.2015";420106;185084;227
"KR";"08325";"X";"Landkreis Rottweil";"31.12.2015";137500;76943;179
"KR";"08326";"X";"Landkreis Schwarzwald-Baar-Kreis";"31.12.2015";209648;102526;204
"KR";"08327";"X";"Landkreis Tuttlingen";"31.12.2015";136606;73435;186
"KR";"08335";"X";"Landkreis Konstanz";"31.12.2015";280288;81798;343
"KR";"08336";"X";"Landkreis Lörrach";"31.12.2015";226708;80676;281
"KR";"08337";"X";"Landkreis Waldshut";"31.12.2015";167861;113116;148
"KR";"08415";"X";"Landkreis Reutlingen";"31.12.2015";282113;102809;274
"KR";"08416";"X";"Landkreis Tübingen";"31.12.2015";221837;51919;427
"KR";"08417";"X";"Landkreis Zollernalbkreis";"31.12.2015";188595;91771;206
"KR";"08421";"X";"Stadtkreis Ulm";"31.12.2015";122636;11869;1033
"KR";"08425";"X";"Landkreis Alb-Donau-Kreis";"31.12.2015";192104;135867;141
"KR";"08426";"X";"Landkreis Biberach";"31.12.2015";194019;140975;138
"KR";"08435";"X";"Landkreis Bodenseekreis";"31.12.2015";212201;66481;319
"KR";"08436";"X";"Landkreis Ravensburg";"31.12.2015";279296;163182;171
"KR";"08437";"X";"Landkreis Sigmaringen";"31.12.2015";130772;120434;109
"GS";"08111000";"70173";"Stuttgart, Landeshauptstadt";"31.12.2015";623738;20735;3008
"GS";"08115001";"71134";"Aidlingen";"31.12.2015";8843;2656;333
"GS";"08115002";"71155";"Altdorf";"31.12.2015";4651;1747;266
"GS";"08115003";"71032";"Böblingen, Stadt";"31.12.2015";48696;3904;1247
"GS";"08115004";"71149";"Bondorf";"31.12.2015";5854;1755;334
"GS";"08115010";"75392";"Deckenpfronn";"31.12.2015";3306;1141;290
"GS";"08115013";"71139";"Ehningen";"31.12.2015";8694;1780;488
"GS";"08115015";"71116";"Gärtringen";"31.12.2015";11882;2021;588
"GS";"08115016";"71126";"Gäufelden";"31.12.2015";9231;2007;460
"GS";"08115021";"71083";"Herrenberg, Stadt";"31.12.2015";31003;6571;472
"GS";"08115022";"71157";"Hildrizhausen";"31.12.2015";3645;1216;300
"GS";"08115024";"71088";"Holzgerlingen, Stadt";"31.12.2015";12635;1338;944
"GS";"08115028";"71229";"Leonberg, Stadt";"31.12.2015";47219;4874;969
"GS";"08115029";"71106";"Magstadt";"31.12.2015";9323;1913;487
"GS";"08115034";"71159";"Mötzingen";"31.12.2015";3608;815;443
"GS";"08115037";"71154";"Nufringen";"31.12.2015";5503;1004;548
"GS";"08115041";"71272";"Renningen, Stadt";"31.12.2015";17107;3114;549
"GS";"08115042";"71277";"Rutesheim, Stadt";"31.12.2015";10624;1622;655
"GS";"08115044";"71101";"Schönaich";"31.12.2015";10083;1416;712
"GS";"08115045";"71063";"Sindelfingen, Stadt";"31.12.2015";63971;5085;1258
"GS";"08115046";"71144";"Steinenbronn";"31.12.2015";6466;972;665
"GS";"08115048";"71111";"Waldenbuch, Stadt";"31.12.2015";8590;2270;378
"GS";"08115050";"71263";"Weil der Stadt, Stadt";"31.12.2015";18652;4314;432
"GS";"08115051";"71093";"Weil im Schönbuch";"31.12.2015";9816;2612;376
"GS";"08115052";"71287";"Weissach";"31.12.2015";7490;2219;338
"GS";"08115053";"71131";"Jettingen";"31.12.2015";7654;2111;363
"GS";"08115054";"71120";"Grafenau";"31.12.2015";6735;1305;516
"GS";"08116004";"73776";"Altbach";"31.12.2015";6043;335;1805
"GS";"08116005";"72655";"Altdorf";"31.12.2015";1620;325;499
"GS";"08116006";"72657";"Altenriet";"31.12.2015";1904;335;569
"GS";"08116007";"73666";"Baltmannsweiler";"31.12.2015";5646;1854;305
"GS";"08116008";"72658";"Bempflingen";"31.12.2015";3474;627;554
"GS";"08116011";"72660";"Beuren";"31.12.2015";3549;1169;304
"GS";"08116012";"73266";"Bissingen an der Teck";"31.12.2015";3481;1706;204
"GS";"08116014";"73779";"Deizisau";"31.12.2015";6735;517;1302
"GS";"08116015";"73770";"Denkendorf";"31.12.2015";10707;1306;820
"GS";"08116016";"73265";"Dettingen unter Teck";"31.12.2015";6010;1513;397
"GS";"08116018";"73268";"Erkenbrechtsweiler";"31.12.2015";2143;693;309
"GS";"08116019";"73728";"Esslingen am Neckar, Stadt";"31.12.2015";91271;4642;1966
"GS";"08116020";"72636";"Frickenhausen";"31.12.2015";8844;1135;779
"GS";"08116022";"72663";"Großbettlingen";"31.12.2015";4290;423;1014
"GS";"08116027";"73269";"Hochdorf";"31.12.2015";4895;775;632
"GS";"08116029";"73271";"Holzmaden";"31.12.2015";2222;310;718
"GS";"08116033";"73230";"Kirchheim unter Teck, Stadt";"31.12.2015";40094;4047;991
"GS";"08116035";"73257";"Köngen";"31.12.2015";9718;1252;776
"GS";"08116036";"72664";"Kohlberg";"31.12.2015";2268;439;517
"GS";"08116037";"73669";"Lichtenwald";"31.12.2015";2567;1080;238
"GS";"08116041";"72666";"Neckartailfingen";"31.12.2015";3716;826;450
"GS";"08116042";"72654";"Neckartenzlingen";"31.12.2015";6542;903;724
"GS";"08116043";"73272";"Neidlingen";"31.12.2015";1838;1262;146
"GS";"08116046";"72639";"Neuffen, Stadt";"31.12.2015";6210;1745;356
"GS";"08116047";"73765";"Neuhausen auf den Fildern";"31.12.2015";11741;1247;942
"GS";"08116048";"73274";"Notzingen";"31.12.2015";3631;770;472
"GS";"08116049";"72622";"Nürtingen, Stadt";"31.12.2015";40535;4690;864
"GS";"08116050";"72644";"Oberboihingen";"31.12.2015";5469;631;866
"GS";"08116053";"73275";"Ohmden";"31.12.2015";1719;555;310
"GS";"08116054";"73277";"Owen, Stadt";"31.12.2015";3415;970;352
"GS";"08116056";"73207";"Plochingen, Stadt";"31.12.2015";13997;1065;1314
"GS";"08116058";"73262";"Reichenbach an der Fils";"31.12.2015";8236;743;1108
"GS";"08116063";"72667";"Schlaitdorf";"31.12.2015";1886;731;258
"GS";"08116068";"72669";"Unterensingen";"31.12.2015";4782;756;633
"GS";"08116070";"73235";"Weilheim an der Teck, Stadt";"31.12.2015";10052;2651;379
"GS";"08116071";"73240";"Wendlingen am Neckar, Stadt";"31.12.2015";15974;1215;1315
"GS";"08116072";"73249";"Wernau (Neckar), Stadt";"31.12.2015";12376;1090;1135
"GS";"08116073";"72649";"Wolfschlugen";"31.12.2015";6340;712;891
"GS";"08116076";"73773";"Aichwald";"31.12.2015";7470;1468;509
"GS";"08116077";"70794";"Filderstadt, Stadt";"31.12.2015";44977;3855;1167
"GS";"08116078";"70771";"Leinfelden-Echterdingen, Stadt";"31.12.2015";39071;2989;1307
"GS";"08116079";"73252";"Lenningen";"31.12.2015";8026;4144;194
"GS";"08116080";"73760";"Ostfildern, Stadt";"31.12.2015";38519;2281;1689
"GS";"08116081";"72631";"Aichtal, Stadt";"31.12.2015";10124;2364;428
"GS";"08117001";"73099";"Adelberg";"31.12.2015";1956;949;206
"GS";"08117002";"73101";"Aichelberg";"31.12.2015";1300;401;324
"GS";"08117003";"73095";"Albershausen";"31.12.2015";4196;650;646
"GS";"08117006";"73342";"Bad Ditzenbach";"31.12.2015";3652;2545;143
"GS";"08117007";"73337";"Bad Überkingen";"31.12.2015";3793;2402;158
"GS";"08117009";"73102";"Birenbach";"31.12.2015";1908;250;763
"GS";"08117010";"89558";"Böhmenkirch";"31.12.2015";5512;5109;108
"GS";"08117011";"73104";"Börtlingen";"31.12.2015";1699;826;206
"GS";"08117012";"73087";"Bad Boll";"31.12.2015";5110;1095;467
"GS";"08117014";"73326";"Deggingen";"31.12.2015";5279;2270;233
"GS";"08117015";"73072";"Donzdorf, Stadt";"31.12.2015";10769;3982;270
"GS";"08117016";"73345";"Drackenstein";"31.12.2015";408;569;72
"GS";"08117017";"73105";"Dürnau";"31.12.2015";2066;537;385
"GS";"08117018";"73061";"Ebersbach an der Fils, Stadt";"31.12.2015";15206;2627;579
"GS";"08117019";"73054";"Eislingen/Fils, Stadt";"31.12.2015";20177;1641;1229
"GS";"08117020";"73107";"Eschenbach";"31.12.2015";2176;480;454
"GS";"08117023";"73108";"Gammelshausen";"31.12.2015";1429;331;432
"GS";"08117024";"73312";"Geislingen an der Steige, Stadt";"31.12.2015";27168;7583;358
"GS";"08117025";"73333";"Gingen an der Fils";"31.12.2015";4329;1001;432
"GS";"08117026";"73033";"Göppingen, Stadt";"31.12.2015";56781;5923;959
"GS";"08117028";"73344";"Gruibingen";"31.12.2015";2200;2305;95
"GS";"08117029";"73110";"Hattenhofen";"31.12.2015";2978;764;390
"GS";"08117030";"73092";"Heiningen";"31.12.2015";5114;1245;411
"GS";"08117031";"73345";"Hohenstadt";"31.12.2015";817;1164;70
"GS";"08117033";"73329";"Kuchen";"31.12.2015";5520;895;617
"GS";"08117035";"73347";"Mühlhausen im Täle";"31.12.2015";1019;633;161
"GS";"08117037";"73113";"Ottenbach";"31.12.2015";2463;1190;207
"GS";"08117038";"73098";"Rechberghausen";"31.12.2015";5424;640;847
"GS";"08117042";"73084";"Salach";"31.12.2015";7921;832;953
"GS";"08117043";"73114";"Schlat";"31.12.2015";1682;968;174
"GS";"08117044";"73278";"Schlierbach";"31.12.2015";3927;1097;358
"GS";"08117049";"73079";"Süßen, Stadt";"31.12.2015";10050;1279;786
"GS";"08117051";"73066";"Uhingen, Stadt";"31.12.2015";14036;2479;566
"GS";"08117053";"73116";"Wäschenbeuren";"31.12.2015";3909;1295;302
"GS";"08117055";"73117";"Wangen";"31.12.2015";3071;968;317
"GS";"08117058";"73349";"Wiesensteig, Stadt";"31.12.2015";2056;2340;88
"GS";"08117060";"73119";"Zell unter Aichelberg";"31.12.2015";3087;639;483
"GS";"08117061";"73111";"Lauterstein, Stadt";"31.12.2015";2561;2332;110
"GS";"08118001";"71563";"Affalterbach";"31.12.2015";4451;1015;439
"GS";"08118003";"71679";"Asperg, Stadt";"31.12.2015";13315;580;2296
"GS";"08118006";"71726";"Benningen am Neckar";"31.12.2015";6212;487;1275
"GS";"08118007";"74354";"Besigheim, Stadt";"31.12.2015";12018;1683;714
"GS";"08118010";"74357";"Bönnigheim, Stadt";"31.12.2015";7593;2014;377
"GS";"08118011";"71254";"Ditzingen, Stadt";"31.12.2015";24633;3039;811
"GS";"08118012";"71735";"Eberdingen";"31.12.2015";6701;2621;256
"GS";"08118014";"71729";"Erdmannhausen";"31.12.2015";4871;871;559
"GS";"08118015";"74391";"Erligheim";"31.12.2015";2743;619;443
"GS";"08118016";"74392";"Freudental";"31.12.2015";2440;307;794
"GS";"08118018";"74376";"Gemmrigheim";"31.12.2015";4040;823;491
"GS";"08118019";"70839";"Gerlingen, Stadt";"31.12.2015";19450;1701;1144
"GS";"08118021";"71723";"Großbottwar, Stadt";"31.12.2015";8325;2551;326
"GS";"08118027";"71282";"Hemmingen";"31.12.2015";7416;1234;601
"GS";"08118028";"74394";"Hessigheim";"31.12.2015";2384;503;474
"GS";"08118040";"74366";"Kirchheim am Neckar";"31.12.2015";5608;853;658
"GS";"08118046";"70806";"Kornwestheim, Stadt";"31.12.2015";33153;1465;2263
"GS";"08118047";"74369";"Löchgau";"31.12.2015";5536;1095;506
"GS";"08118048";"71638";"Ludwigsburg, Stadt";"31.12.2015";92973;4335;2145
"GS";"08118049";"71672";"Marbach am Neckar, Stadt";"31.12.2015";15477;1806;857
"GS";"08118050";"71706";"Markgröningen, Stadt";"31.12.2015";14555;2816;517
"GS";"08118051";"71696";"Möglingen";"31.12.2015";11158;993;1124
"GS";"08118053";"74395";"Mundelsheim";"31.12.2015";3276;1020;321
"GS";"08118054";"71711";"Murr";"31.12.2015";6413;779;823
"GS";"08118059";"71739";"Oberriexingen, Stadt";"31.12.2015";3297;816;404
"GS";"08118060";"71720";"Oberstenfeld";"31.12.2015";7928;2110;376
"GS";"08118063";"74385";"Pleidelsheim";"31.12.2015";6284;1018;617
"GS";"08118067";"71701";"Schwieberdingen";"31.12.2015";11323;1487;762
"GS";"08118068";"74372";"Sersheim";"31.12.2015";5686;1148;495
"GS";"08118070";"71711";"Steinheim an der Murr, Stadt";"31.12.2015";12219;2318;527
"GS";"08118071";"71732";"Tamm";"31.12.2015";12798;878;1458
"GS";"08118073";"71665";"Vaihingen an der Enz, Stadt";"31.12.2015";28695;7342;391
"GS";"08118074";"74399";"Walheim";"31.12.2015";3129;614;510
"GS";"08118076";"74343";"Sachsenheim, Stadt";"31.12.2015";18170;5792;314
"GS";"08118077";"74379";"Ingersheim";"31.12.2015";6193;1155;536
"GS";"08118078";"71691";"Freiberg am Neckar, Stadt";"31.12.2015";15741;1314;1198
"GS";"08118079";"74321";"Bietigheim-Bissingen, Stadt";"31.12.2015";42968;3129;1373
"GS";"08118080";"70825";"Korntal-Münchingen, Stadt";"31.12.2015";19143;2071;925
"GS";"08118081";"71686";"Remseck am Neckar, Stadt";"31.12.2015";25759;2282;1129
"GS";"08119001";"73553";"Alfdorf";"31.12.2015";7099;6852;104
"GS";"08119003";"71573";"Allmersbach im Tal";"31.12.2015";4739;796;596
"GS";"08119004";"71566";"Althütte";"31.12.2015";4092;1815;225
"GS";"08119006";"71549";"Auenwald";"31.12.2015";6780;1976;343
"GS";"08119008";"71522";"Backnang, Stadt";"31.12.2015";36266;3940;921
"GS";"08119018";"71576";"Burgstetten";"31.12.2015";3635;1029;353
"GS";"08119020";"70734";"Fellbach, Stadt";"31.12.2015";45147;2770;1630
"GS";"08119024";"71577";"Großerlach";"31.12.2015";2514;2714;93
"GS";"08119037";"73667";"Kaisersbach";"31.12.2015";2504;2794;90
"GS";"08119038";"71737";"Kirchberg an der Murr";"31.12.2015";3771;1322;285
"GS";"08119041";"71404";"Korb";"31.12.2015";10544;845;1247
"GS";"08119042";"71397";"Leutenbach";"31.12.2015";11215;1473;761
"GS";"08119044";"71540";"Murrhardt, Stadt";"31.12.2015";13727;7113;193
"GS";"08119053";"71570";"Oppenweiler";"31.12.2015";4161;1981;210
"GS";"08119055";"73655";"Plüderhausen";"31.12.2015";9368;2613;358
"GS";"08119061";"73635";"Rudersberg";"31.12.2015";11179;3937;284
"GS";"08119067";"73614";"Schorndorf, Stadt";"31.12.2015";39172;5683;689
"GS";"08119068";"71409";"Schwaikheim";"31.12.2015";9386;922;1018
"GS";"08119069";"71579";"Spiegelberg";"31.12.2015";2098;2822;74
"GS";"08119075";"71560";"Sulzbach an der Murr";"31.12.2015";5173;4011;129
"GS";"08119076";"73660";"Urbach";"31.12.2015";8817;2076;425
"GS";"08119079";"71332";"Waiblingen, Stadt";"31.12.2015";54263;4276;1269
"GS";"08119083";"71554";"Weissach im Tal";"31.12.2015";7113;1413;503
"GS";"08119084";"73642";"Welzheim, Stadt";"31.12.2015";11063;3799;291
"GS";"08119085";"71364";"Winnenden, Stadt";"31.12.2015";27932;2805;996
"GS";"08119086";"73650";"Winterbach";"31.12.2015";7579;1713;442
"GS";"08119087";"71546";"Aspach";"31.12.2015";8035;3546;227
"GS";"08119089";"73663";"Berglen";"31.12.2015";6136;2587;237
"GS";"08119090";"73630";"Remshalden";"31.12.2015";14076;1515;929
"GS";"08119091";"71384";"Weinstadt, Stadt";"31.12.2015";26685;3171;842
"GS";"08119093";"71394";"Kernen im Remstal";"31.12.2015";15187;1505;1009
"GS";"08121000";"74072";"Heilbronn, Stadt";"31.12.2015";122567;9988;1227
"GS";"08125001";"74232";"Abstatt";"31.12.2015";4752;966;492
"GS";"08125005";"74177";"Bad Friedrichshall, Stadt";"31.12.2015";19019;2470;770
"GS";"08125006";"74906";"Bad Rappenau, Stadt";"31.12.2015";20510;7355;279
"GS";"08125007";"74206";"Bad Wimpfen, Stadt";"31.12.2015";6971;1938;360
"GS";"08125008";"71717";"Beilstein, Stadt";"31.12.2015";6178;2525;245
"GS";"08125013";"74336";"Brackenheim, Stadt";"31.12.2015";15727;4575;344
"GS";"08125017";"74389";"Cleebronn";"31.12.2015";2858;1709;167
"GS";"08125021";"74246";"Eberstadt";"31.12.2015";3175;1250;254
"GS";"08125024";"74248";"Ellhofen";"31.12.2015";3562;586;608
"GS";"08125026";"75031";"Eppingen, Stadt";"31.12.2015";21312;8859;241
"GS";"08125027";"74235";"Erlenbach";"31.12.2015";4969;1273;390
"GS";"08125030";"74223";"Flein";"31.12.2015";6918;847;816
"GS";"08125034";"75050";"Gemmingen";"31.12.2015";5080;1908;266
"GS";"08125038";"74363";"Güglingen, Stadt";"31.12.2015";6168;1627;379
"GS";"08125039";"74831";"Gundelsheim, Stadt";"31.12.2015";7258;3844;189
"GS";"08125046";"74360";"Ilsfeld";"31.12.2015";9233;2651;348
"GS";"08125047";"74930";"Ittlingen";"31.12.2015";2472;1411;175
"GS";"08125048";"74249";"Jagsthausen";"31.12.2015";1802;1767;102
"GS";"08125049";"74912";"Kirchardt";"31.12.2015";5649;2150;263
"GS";"08125056";"74348";"Lauffen am Neckar, Stadt";"31.12.2015";11042;2263;488
"GS";"08125057";"74251";"Lehrensteinsfeld";"31.12.2015";2348;622;377
"GS";"08125058";"74211";"Leingarten";"31.12.2015";11187;2348;477
"GS";"08125059";"74245";"Löwenstein, Stadt";"31.12.2015";3231;2346;138
"GS";"08125061";"74252";"Massenbachhausen";"31.12.2015";3402;878;388
"GS";"08125063";"74219";"Möckmühl, Stadt";"31.12.2015";7902;4960;159
"GS";"08125065";"74172";"Neckarsulm, Stadt";"31.12.2015";26304;2494;1055
"GS";"08125066";"74382";"Neckarwestheim";"31.12.2015";3709;1397;266
"GS";"08125068";"74861";"Neudenau, Stadt";"31.12.2015";5103;3292;155
"GS";"08125069";"74196";"Neuenstadt am Kocher, Stadt";"31.12.2015";9630;4118;234
"GS";"08125074";"74226";"Nordheim";"31.12.2015";8021;1271;631
"GS";"08125078";"74229";"Oedheim";"31.12.2015";6303;2124;297
"GS";"08125079";"74254";"Offenau";"31.12.2015";2665;565;471
"GS";"08125081";"74397";"Pfaffenhofen";"31.12.2015";2335;1204;194
"GS";"08125084";"74255";"Roigheim";"31.12.2015";1420;1401;101
"GS";"08125086";"74193";"Schwaigern, Stadt";"31.12.2015";11173;4948;226
"GS";"08125087";"74936";"Siegelsbach";"31.12.2015";1671;768;218
"GS";"08125094";"74388";"Talheim";"31.12.2015";4918;1162;423
"GS";"08125096";"74257";"Untereisesheim";"31.12.2015";4145;367;1130
"GS";"08125098";"74199";"Untergruppenbach";"31.12.2015";8276;2727;303
"GS";"08125102";"74189";"Weinsberg, Stadt";"31.12.2015";12001;2222;540
"GS";"08125103";"74259";"Widdern, Stadt";"31.12.2015";1829;2523;72
"GS";"08125107";"71543";"Wüstenrot";"31.12.2015";6837;3002;228
"GS";"08125108";"74374";"Zaberfeld";"31.12.2015";3929;2218;177
"GS";"08125110";"74182";"Obersulm";"31.12.2015";13567;3107;437
"GS";"08125111";"74239";"Hardthausen am Kocher";"31.12.2015";4094;3555;115
"GS";"08125113";"74243";"Langenbrettach";"31.12.2015";3733;2397;156
"GS";"08126011";"74626";"Bretzfeld";"31.12.2015";12367;6470;191
"GS";"08126020";"74677";"Dörzbach";"31.12.2015";2463;3236;76
"GS";"08126028";"74670";"Forchtenberg, Stadt";"31.12.2015";4919;3808;129
"GS";"08126039";"74653";"Ingelfingen, Stadt";"31.12.2015";5516;4648;119
"GS";"08126045";"74238";"Krautheim, Stadt";"31.12.2015";4542;5292;86
"GS";"08126046";"74653";"Künzelsau, Stadt";"31.12.2015";15127;7517;201
"GS";"08126047";"74635";"Kupferzell";"31.12.2015";6074;5429;112
"GS";"08126056";"74673";"Mulfingen";"31.12.2015";3700;8008;46
"GS";"08126058";"74632";"Neuenstein, Stadt";"31.12.2015";6506;4784;136
